itter,avg,del
126.250000,0,254.867020
1.804108,50,253.118378
0.909409,100,252.263245
0.629944,150,251.607315
0.510483,200,251.055008
0.423660,250,250.568985
0.358749,300,250.129944
0.309250,350,249.726288
0.270523,400,249.350723
0.239929,450,248.998047
0.215179,500,248.664658
0.194778,550,248.347687
0.177689,600,248.044891
0.163071,650,247.754639
0.150650,700,247.475372
0.139877,750,247.206116
0.130371,800,246.945694
0.123932,850,246.693466
0.117935,900,246.448685
0.114029,950,246.210770
0.110977,1000,245.979111
0.108231,1050,245.753311
0.105652,1100,245.532883
0.103271,1150,245.317490
0.101013,1200,245.106934
0.098923,1250,244.900833
0.096939,1300,244.698792
0.095016,1350,244.500763
0.093155,1400,244.306534
0.091400,1450,244.115784
0.089752,1500,243.928329
0.088120,1550,243.744247
0.086578,1600,243.563065
0.085083,1650,243.384872
0.083618,1700,243.209305
0.082245,1750,243.036514
0.080902,1800,242.866272
0.079605,1850,242.698349
0.078339,1900,242.532883
0.077118,1950,242.369659
0.075928,2000,242.208572
0.074768,2050,242.049530
0.073639,2100,241.892578
0.072571,2150,241.737473
0.071503,2200,241.584305
0.070496,2250,241.432999
0.069489,2300,241.283371
0.068512,2350,241.135422
0.067581,2400,240.989212
0.066650,2450,240.844482
0.065781,2500,240.701370
0.064896,2550,240.559677
0.064056,2600,240.419540
0.063248,2650,240.280823
0.062424,2700,240.143448
0.061646,2750,240.007431
0.060867,2800,239.872620
0.060135,2850,239.739212
0.059387,2900,239.606888
0.058701,2950,239.475906
0.057999,3000,239.346024
0.057343,3050,239.217361
0.056656,3100,239.089737
0.056000,3150,238.963272
0.055344,3200,238.837860
0.054749,3250,238.713486
0.054123,3300,238.590057
0.053528,3350,238.467728
0.052933,3400,238.346359
0.052338,3450,238.225861
0.051788,3500,238.106415
0.051224,3550,237.987793
0.050674,3600,237.870117
0.050125,3650,237.753250
0.049637,3700,237.637314
